code;description
1;RECEITAS CORRENTES
2;RECEITAS DE CAPITAL
7;RECEITAS CORRENTES - INTRA-ORÇAMENTÁRIAS
8;RECEITAS DE CAPITAL - INTRA-ORÇAMENTÁRIAS
9;® DEDUÇÕES DE RECEITAS
