description
Ordinário - Ações Iniciadas até 31.12.1999 (Art. 78, caput, ADCT, CF)
Ordinário - Pendente em 05.10.1988 (Arts. 33 e 78, ADCT, CF)
Ordinário - Demais Casos (art. 100, caput, e 1º, CF)
Alimentício (art. 100, § 1º-A, CF)
De Pequeno Valor (§ 3º, art. 100, CF)
Decorrente de Desapropriação de Imóvel Residencial (§ 3º, art. 78, ADCT, CF)
